ISIN,Sector,Name,BuyTotal,SellTotal,BuyPct,SellPct
AT0000A0E9W5,Electrics,KONTRON AG O.N,920.98,700.12,0.0014,0.0017
AU000000DRO2,Internet & Software,DRONESHIELD LTD,49.65,383.4,0.0001,0.0009
CA02377G2045,Electronics,AMERICAN AIRES INC. NEW,967.14,164.47,0.0015,0.0004
CA0272592092,Mining,AMERICAN LITHIUM CORP. REGISTERED SHARES O.N.,102.06,31.75,0.0002,0.0001
CA1380357048,Health Care,CANOPY GROWTH,1039.95,1998.4,0.0016,0.0047
CA22717L1013,Pharmaceuticals & Cosmetics,CRONOS GRP INC.,20.43,13.74,0.0,0.0
CA42249X1006,Biotechnology,HEALWELL AI  CL.A SUB.VTG,631.82,76.25,0.001,0.0002
CA60255C8850,Health Care,MIND MEDICINE (MINDMED),23.75,16.3,0.0,0.0
CA8536061010,Mining,STANDARD LITHIUM LTD,229.57,714.82,0.0004,0.0017
CNE100000296,Electrics,BYD,1593.94,2392.83,0.0025,0.0056
CNE1000003X6,Insurance,PING AN INSURANCE,307.01,279.47,0.0005,0.0007
DE0005140008,Banking & Finance,DEUTSCHE BANK AG NA O.N.,332.56,880.59,0.0005,0.0021
DE0005190037,Vehicles,BAY.MOTOREN WERKE  VZO,3015.96,2189.38,0.0047,0.0052
DE0005552004,Transportation,DEUTSCHE POST AG NA O.N.,5096.85,2689.62,0.008,0.0063
DE0005557508,Telecommunication,DT.TELEKOM AG NA,10088.39,8792.41,0.0158,0.0207
DE0005909006,Constructions & Material,BILFINGER SE O.N.,200.68,384.3,0.0003,0.0009
DE0005933972,Computers & Network,iShares TecDAX® UCITS ETF (DE) EUR (Acc),240.0,281.59,0.0004,0.0007
DE0006231004,Electronics,INFINEON TECH.AG NA O.N.,312.11,700.06,0.0005,0.0017
DE0007030009,Machinery,RHEINMETALL AG,5402.34,2859.19,0.0085,0.0067
DE0007037129,Energy & Water,RWE AG ST O.N.,6064.86,2780.75,0.0095,0.0066
DE0007100000,Vehicles,MERCEDES-BENZ GRP NA O.N.,19744.04,10161.21,0.031,0.024
DE0007164600,Internet & Software,SAP SE,30.0,540.89,0.0,0.0013
DE0007231334,Vehicles,SIXT SE VZO,4901.42,2592.25,0.0077,0.0061
DE0007236101,Electronics,SIEMENS AG NA,2785.08,1076.34,0.0044,0.0025
DE0007500001,Mining,THYSSENKRUPP AG O.N.,84.26,461.22,0.0001,0.0011
DE0007664039,Vehicles,VOLKSWAGEN AG VORZUGSAKTIEN,3132.46,1030.8,0.0049,0.0024
DE0008232125,Aviation & Aeronautics,LUFTHANSA AG VNA O.N.,3541.78,59.07,0.0056,0.0001
DE0008404005,Insurance,ALLIANZ AG VNA O.N.,4735.86,2398.58,0.0074,0.0057
DE0008430026,Insurance,MUENCH.RUECKVERS.VNA O.N.,225.0,2048.81,0.0004,0.0048
DE000A0D6554,Energy & Water,NORDEX SE O.N.,1473.49,1285.49,0.0023,0.003
DE000A0JL9W6,Oil & Gas,VERBIO SE INH O.N.,49.51,620.85,0.0001,0.0015
DE000A0WMPJ6,Electronics,AIXTRON SE NA O.N.,1694.03,447.03,0.0027,0.0011
DE000A2YN900,Internet & Software,TEAMVIEWER SE  INH O.N.,609.26,585.39,0.001,0.0014
DE000A30WFV1,Banking & Finance,DT.PFBR.BANK MTN.35416,9876.05,9.55,0.0155,0.0
DE000BASF111,Chemistry,BASF AG O.N.,872.42,1517.6,0.0014,0.0036
DE000BAY0017,Chemistry,BAYER AG O.N.,3452.0,1488.21,0.0054,0.0035
DE000BEAU7Y1,Biotechnology,DOUGLAS AG ST I,6526.4,3976.81,0.0102,0.0094
DE000CBK1001,Banking & Finance,COMMERZBANK AG,38.05,2732.31,0.0001,0.0064
DE000DWS1007,Banking & Finance,DWS GROUP GMBH+CO.KGAA ON,3471.6,2522.55,0.0054,0.0059
DE000ENAG999,Energy & Water,E.ON SE,3449.66,6353.95,0.0054,0.015
DE000ENER6Y0,Energy & Water,SIEMENS ENERGY AG NA O.N.,1109.9,1330.37,0.0017,0.0031
DE000KBX1006,Vehicles,KNORR-BREMSE AG  INH O.N.,2889.51,3263.8,0.0045,0.0077
DE000NCA0001,Energy & Water,THYSSENKRUPP NUCERA O.N.,3384.76,298.33,0.0053,0.0007
DE000PAH0038,Holdings,PORSCHE AUTOM.HLDG VZO,15366.68,2583.79,0.0241,0.0061
DE000RENK730,Machinery,RENK GROUP AG INH O.N.,7791.24,7936.74,0.0122,0.0187
DE000SHL1006,Health Care,SIEMENS HEALTH.AG NA O.N.,699.13,738.86,0.0011,0.0017
DE000TUAG505,Holdings,TUI AG NA O.N.,4507.2,8276.62,0.0071,0.0195
DE000WACK012,Machinery,WACKER NEUSON SE NA O.N.,1020.96,1001.03,0.0016,0.0024
DK0010244508,Machinery,A.P. MOELLER - MAERSK,634.08,1915.56,0.001,0.0045
ES0113900J37,Banking & Finance,BANCO SANTANDER,968.02,340.92,0.0015,0.0008
ES0125220311,Constructions & Material,ACCIONA SA INH.    EO 1,5.0,846.43,0.0,0.002
FR0000053381,Services,"DERICHEBOURG S.A. EO -,25",984.1,1061.27,0.0015,0.0025
FR0000121014,Alcohol & Tobacco,"LVMH               EO 0,3",2849.29,101.27,0.0045,0.0002
FR0010527275,Environment & Recycling,MULTI UNITS FRANCE - Amundi MSCI Water UCITS ETF Dist,339.32,1070.04,0.0005,0.0025
FR001400PDG8,Environment & Recycling,EUROPLASMA           EO 1,74.84,6.77,0.0001,0.0
GB0003718474,Retail & Stores,"GAMES WORKSHOP GRP LS-,05",9.32,7.87,0.0,0.0
GB00B10RZP78,Food,"UNILEVER PLC   LS-,031111",50.0,1501.64,0.0001,0.0035
GB00B15KXQ89,Raw Materials,WisdomTree Copper,614.47,601.34,0.001,0.0014
GB00B1VNSX38,Energy & Water,"DRAX GROUP    LS-,1155172",954.14,1028.18,0.0015,0.0024
GB00BJDQQ870,Retail & Stores,"WATCH.O.SWITZ.GR.LS-,0125",955.44,974.97,0.0015,0.0023
GB00BM8Q5M07,Textiles & Clothing,"JD SPORTS FASH. LS -,0005",124.45,431.35,0.0002,0.001
GB00BN7SWP63,Health Care,GSK PLC,327.11,566.42,0.0005,0.0013
GB00BZ15CS02,Internet & Software,"ARGO BLOCKCHAIN LS -,001",23.89,16.99,0.0,0.0
HK0144000764,Transportation,CHINA MERCHANTS HOLDINGS INTERNAT. CO.,951.18,1013.74,0.0015,0.0024
IE0008UEVOE0,Corporate Bonds,iShares V plc - iShares iBonds Dec 2028 Term € Corp UCITS ETF EUR (Acc),134.05,138.37,0.0002,0.0003
IE000GUOATN7,iShares,iShares V plc - iShares iBonds Dec 2025 Term € Corp UCITS ETF EUR (Acc),193.55,687.38,0.0003,0.0016
IE000OJ5TQP4,Aviation & Aeronautics,HANetf ICAV - Future of Defence UCITS ETF - Accumulating,773.78,265.37,0.0012,0.0006
IE000WA6L436,Corporate Bonds,iShares V plc - iShares iBonds Dec 2026 Term € Corp UCITS ETF EUR (Acc),217.5,450.48,0.0003,0.0011
IE000ZOI8OK5,Corporate Bonds,iShares V plc - iShares iBonds Dec 2027 Term € Corp UCITS ETF EUR (Acc),110.56,198.91,0.0002,0.0005
IE00B0M63516,Large/Mid Caps,iShares plc - iShares MSCI Brazil UCITS ETF USD (Dist) USD (Dist),140.97,595.27,0.0002,0.0014
