,Unnamed: 0,ISIN,sector,name,price_per_share,currency
0,0,CA42249X1006,Biotechnology,HEALWELL AI  CL.A SUB.VTG,0.916,EUR
1,0,CNE100000296,Electrics,BYD,44.25,EUR
2,0,US29786A1060,Consumer Goods,"ETSY INC.         DL-,001",41.625,EUR
3,0,US64110L1061,Internet & Software,"NETFLIX INC.      DL-,001",1013.8,EUR
4,0,IE000XZSV718,SP500,SSGA SPDR ETFs Europe I plc - SPDR S&P 500 UCITS ETF USD Unhedged (Acc),12.259,EUR
5,0,US67066G1040,Electronics,"NVIDIA CORP.      DL-,001",103.46,EUR
6,0,US88160R1014,Vehicles,"TESLA INC. DL -,001",265.35,EUR
7,0,US8334451098,Internet & Software,"SNOWFLAKE INC. A DL-,0001",154.62,EUR
8,0,US8740391003,Electronics,TAIWAN SEMICON.MANU.ADR/5,156.6,EUR
9,0,NL00150002Q7,Pharmaceuticals & Cosmetics,VIVORYON THERAPEUTICS,1.724,EUR
10,0,XF000DOT0011,Web3,Polkadot,4.47836,EUR
11,0,DE000CBK1001,Banking & Finance,COMMERZBANK AG,25.23,EUR
12,0,KYG9830T1067,Computers & Network,XIAOMI CORP. CL.B,5.915,EUR
13,0,CA02377G2045,Electronics,AMERICAN AIRES INC. NEW,0.099,EUR
14,0,CA60255C8850,Health Care,MIND MEDICINE (MINDMED),5.415,EUR
15,0,US5949181045,Internet & Software,"MICROSOFT    DL-,00000625",389.15,EUR
17,0,CA1380357048,Health Care,CANOPY GROWTH,1.15,EUR
18,0,DE0005140008,Banking & Finance,DEUTSCHE BANK AG NA O.N.,24.22,EUR
19,0,CA22717L1013,Pharmaceuticals & Cosmetics,CRONOS GRP INC.,1.73,EUR
20,0,IE00B4L5Y983,Large/Mid Caps,iShares III plc - iShares Core MSCI World UCITS ETF USD (Acc),96.296,EUR
21,0,KYG982AW1003,Machinery,"XPENG INC. CL.A DL-,00001",8.625,EUR
22,0,IE00BM67HT60,Computers & Network,Xtrackers (IE) Plc - Xtrackers MSCI World Information Technology UCITS ETF 1C,78.88,EUR
23,0,DE0007030009,Machinery,RHEINMETALL AG,1694.5,EUR
24,0,US70450Y1038,Banking & Finance,"PAYPAL HDGS INC.DL-,0001",62.43,EUR
25,0,DE0008404005,Insurance,ALLIANZ AG VNA O.N.,362.9,EUR
26,0,US83444M1018,Health Care,"SOLVENTUM CORP. DL0,01",62.4,EUR
27,0,US1331311027,Real Estate,"CAMDEN PTY TR. SBI DL-,01",104.0,EUR
28,0,DK0010244508,Machinery,A.P. MOELLER - MAERSK,1520.0,EUR
29,0,US5184391044,Pharmaceuticals & Cosmetics,"ESTEE LAUDER COS A DL-,01",53.6,EUR
31,0,US12541W2098,Transportation,C.H. ROB. WORLDWIDE NEW,79.0,EUR
32,0,US88579Y1010,Consumer Goods,"3M CO. DL-,50",126.52,EUR
33,0,US29476L1070,Real Estate,"EQUITY RESI. SBI   DL-,01",62.0,EUR
